,userID,Station_ID,connectionTime,ChargingTime[mins],DesiredkWh[kWh],kWhDelivered[kWh],Flex[kWh]
0,76,AG-3F29,"Sun, 01 Sep 2019 17:32:07 GMT",94.3,24.08,12.25,0
1,2418,AG-1F13,"Sun, 01 Sep 2019 17:52:42 GMT",35.2,4.5,4.5,0
2,405,AG-1F08,"Mon, 02 Sep 2019 14:41:01 GMT",113.3333333,10,10,0
3,2804,AG-1F06,"Mon, 02 Sep 2019 18:04:42 GMT",105.9333333,36,14,0
4,448,AG-1F13,"Mon, 02 Sep 2019 19:29:19 GMT",56.2,14,7,0
5,1479,AG-1F08,"Mon, 02 Sep 2019 20:29:10 GMT",450.2166667,44,44,0
6,551,AG-1F02,"Mon, 02 Sep 2019 23:53:56 GMT",135.4166667,22.52,17.5,0
7,933,AG-1F10,"Tue, 03 Sep 2019 11:34:25 GMT",608.8166667,73.26,44.60656784,-6.5387
8,467,AG-1F08,"Tue, 03 Sep 2019 12:03:39 GMT",267.6166667,16,16,-0.1643
9,651,AG-1F06,"Tue, 03 Sep 2019 12:33:57 GMT",202.9333333,20,20,-5.2446
10,483,AG-4F52,"Tue, 03 Sep 2019 12:41:44 GMT",126.15,7,7,0
11,406,AG-1F04,"Tue, 03 Sep 2019 12:44:17 GMT",492.5,24,22.22409782,9.4564
12,344,AG-1F01,"Tue, 03 Sep 2019 12:54:05 GMT",169.5666667,12,12,-3.9121
13,334,AG-1F02,"Tue, 03 Sep 2019 13:05:22 GMT",358.85,18,18,7.1942
14,356,AG-1F07,"Tue, 03 Sep 2019 13:14:38 GMT",505.7,6,6,4.6591
15,416,AG-3F30,"Tue, 03 Sep 2019 13:14:42 GMT",219.4833333,24,16.98278687,-3.5463
16,602,AG-1F03,"Tue, 03 Sep 2019 13:16:25 GMT",357.6666667,28,27.82842789,-7.0714
17,3163,AG-3F25,"Tue, 03 Sep 2019 13:18:29 GMT",316.2166667,29.48,18.05108618,-1.2325
18,3038,AG-1F09,"Tue, 03 Sep 2019 13:20:28 GMT",224.4166667,28,13.10656784,-3.1133
19,1117,AG-1F05,"Tue, 03 Sep 2019 13:22:50 GMT",87.6,4,3.21656611,1.3123
20,385,AG-3F33,"Tue, 03 Sep 2019 13:25:13 GMT",229.2166667,12,12,6.1994
21,419,AG-1F11,"Tue, 03 Sep 2019 13:26:31 GMT",146.4333333,60,13.98156784,-7.1451
22,529,AG-3F22,"Tue, 03 Sep 2019 13:28:05 GMT",577.8333333,30,28.91717647,7.5615
23,1648,AG-1F12,"Tue, 03 Sep 2019 13:30:36 GMT",148.3333333,6.66,3.481567842,3.3549
24,169,AG-3F16,"Tue, 03 Sep 2019 13:31:21 GMT",208.45,16,16,-4.634
25,726,AG-3F23,"Tue, 03 Sep 2019 13:35:00 GMT",125.8166667,19.25,15.71313568,-9.7517
26,462,AG-1F13,"Tue, 03 Sep 2019 13:35:47 GMT",419.7833333,8,3.5,16.3952
27,1733,AG-1F14,"Tue, 03 Sep 2019 13:41:34 GMT",467.15,126,52.46313568,-17.1694
28,2115,AG-3F24,"Tue, 03 Sep 2019 13:43:44 GMT",439.75,24,24,11.5574
29,521,AG-3F29,"Tue, 03 Sep 2019 13:53:44 GMT",160.8333333,16,9.111523525,-2.1751
30,3499,AG-3F27,"Tue, 03 Sep 2019 13:56:20 GMT",291.7833333,8,8,10.8134
31,1078,AG-3F31,"Tue, 03 Sep 2019 13:57:44 GMT",332.4666667,20,20,9.7298
32,363,AG-3F28,"Tue, 03 Sep 2019 13:58:43 GMT",121.15,15.65,15.65,-10.0267
33,414,AG-3F18,"Tue, 03 Sep 2019 13:58:54 GMT",260.9833333,15,15,-4.6564
34,1797,AG-3F17,"Tue, 03 Sep 2019 13:59:01 GMT",299.2833333,8,6.975596982,7.8468
35,576,AG-3F20,"Tue, 03 Sep 2019 13:59:04 GMT",503.9333333,39.95,39.95,3.649
36,1283,AG-3F26,"Tue, 03 Sep 2019 14:00:18 GMT",457.95,49,38.00126025,-6.3625
37,365,AG-3F19,"Tue, 03 Sep 2019 14:02:27 GMT",134.5666667,9.99,9.99,-4.7386
38,3201,AG-3F21,"Tue, 03 Sep 2019 14:04:52 GMT",460.9833333,16.65,15.29117413,7.1874
39,826,AG-4F49,"Tue, 03 Sep 2019 14:06:08 GMT",624.8166667,52.5,48.72717259,4.5761
40,425,AG-3F15,"Tue, 03 Sep 2019 14:07:34 GMT",479.6166667,8.05,8.05,8.2168
41,2500,AG-4F50,"Tue, 03 Sep 2019 14:12:12 GMT",439.8333333,15,10.89453719,15.3392
